Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
"Tetrachloro-1,2-Benzoquinone ",ClC(C(Cl)=C(C1=O)Cl)=C(C1=O)Cl,2435-53-2,6.085,0.9425,0.7988272654335227,low-fidelity RED
2-Methyl-1-Chloro Acrolein,ClC(C=O)=CC,53175-28-3,5.645,0.8125,0.6194755846681931,high-fidelity RED
Butanedioyl Dichloride,ClC(CCC(Cl)=O)=O,543-20-4,5.879,0.8762,0.4750000000000004,low-fidelity RED
Dichloroacetic Anhydride,ClC(Cl)C(=O)OC(=O)C(Cl)Cl,4124-30-5,5.856,1.019,0.28831406486676986,low-fidelity RED
Dichloroacetyl Chloride,ClC(Cl)C(Cl)=O,79-36-7,5.772,0.8961,0.6819090848492931,low-fidelity RED
Chlorfenvinphos,Clc1cc(Cl)ccc1C(OP(=O)(OCC)OCC)=[C@H]Cl,470-90-6,5.692,1.427,0.9017344398435718,low-fidelity RED
3-Chloroacetanilide,Clc1cc(NC(=O)C)ccc1,588-07-8,6.473,1.08,0.9344115795515382,low-fidelity RED
(p-Chlorophenyl)Acetonitrile,Clc1ccc(cc1)CC#N,140-53-4,6.45,1.108,0.9801147891956334,low-fidelity RED
2-Chloroacetanilide,Clc1ccccc1NC(=O)C,533-17-5,6.385,1.078,0.9775607398008569,low-fidelity RED
Ipazine,Clc1nc(nc(n1)N(CC)CC)NC(C)C,1912-25-0,5.916,1.228,0.9532837982468813,low-fidelity RED
Trietazine,Clc1nc(nc(n1)N(CC)CC)NCC,1912-26-1,5.988,1.217,0.7420411039827917,low-fidelity RED
Terbuthylazine,Clc1nc(nc(n1)NC(C)(C)C)NCC,5915-41-3,5.91,1.108,0.6250000000000001,low-fidelity RED
Propazine,Clc1nc(nc(n1)NC(C)C)NC(C)C,139-40-2,6.039,1.053,0.6025985396596977,low-fidelity RED
"2-Chloro-4-Ethylamino-6-Isopropylamino-1,3,5-Triazine (Atrazine)",Clc1nc(nc(n1)NC(C)C)NCC,1912-24-9,6.661,1.158,0.5437140792732884,low-fidelity RED
Cyanazine,Clc1nc(nc(n1)NC(C#N)(C)C)NCC,21725-46-2,6.523,1.256,0.6442049363362564,low-fidelity RED
Benzenesulfonyl Chloride ,ClS(C1=CC=CC=C1)(=O)=O,98-09-9,5.715,0.8757,0.849264387573152,low-fidelity RED
1-Methyl-2-Pyrrole Carboxaldehyde,CN1C=CC=C1C=O,1192-58-1,5.94,1.109,0.32113081446662806,low-fidelity RED
α-Methoxy Acrylonitrile,COC(=C)C#N,24209-93-6,6.178,1.028,0.9663074045043837,low-fidelity RED
"Benzene-1,2,4-Tricarboxylic Acid Trimethyl Ester",COC(=O)C1=C(C(=O)OC)C=C(C(=O)OC)C=C1,10/1/59 0:00,7.102,1.193,0.7697402159170327,low-fidelity RED
Methyl Nicotinate,COC(=O)C1=CN=CC=C1,93-60-7,6.941,1.195,0.6932712311931027,low-fidelity RED
"3,4-Dimethoxybenzaldehyde",COC(C=C(C=O)C=C1)=C1OC,120-14-9,6.841,1.088,0.7697402159170328,low-fidelity RED
