Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
p-Dichlorobenzene,ClC1=CC=C(Cl)C=C1,106-46-7,5.474,0.8289,0.5367727638395972,high-fidelity RED
m-Chlorobenzoyl Chloride,ClC1=CC=CC(=C1)C(Cl)=O,618-46-2,6.216,0.9946,0.9437293044088436,low-fidelity RED
Chlorobenzene,ClC1=CC=CC=C1,108-90-7,5.303,0.7448,0.6823672031978085,high-fidelity RED
Hexachloronorbornadiene,ClC12C=CC(Cl)(C(=C1Cl)Cl)C2(Cl)Cl,3389-71-7,4.995,0.9783,0.646625857818878,low-fidelity RED
"2,2',3,4,5',6-Hexachlorobiphenyl",Clc1c(c(Cl)c(Cl)c(Cl)c1)c2cc(Cl)ccc2Cl,68194-14-9,5.534,1.173,0.9937303457175894,low-fidelity RED
"2,3,3',4,4',6-Hexachlorobiphenyl",Clc1c(c(Cl)c(Cl)c(Cl)c1)c2ccc(Cl)c(Cl)c2,74472-42-7,5.642,1.197,0.9937303457175894,low-fidelity RED
"2,3,4,4',6-Pentachlorobiphenyl",Clc1c(c(Cl)c(Cl)c(Cl)c1)c2ccc(Cl)cc2,74472-38-1,5.432,1.233,0.9893179468704691,low-fidelity RED
Octachlorostyrene,Clc1c(c(Cl)c(Cl)c(Cl)c1Cl)C(\Cl)=C(/Cl)Cl,29082-74-4,5.668,0.9628,0.7877975628294366,low-fidelity RED
"2,2',3,4,5,5',6'-Heptachloro-1,1'-Biphenyl",Clc1c(c(Cl)c(Cl)c(Cl)c1Cl)c2cc(Cl)ccc2Cl,52712-05-7,5.462,1.027,0.9233092656309702,low-fidelity RED
Hexachlorobiphenyl,Clc1c(c(Cl)c(Cl)c(Cl)c1Cl)c2ccccc2Cl,26601-64-9,5.47,0.9559,0.9293815147720556,low-fidelity RED
"2,3,3',4,4',5-Hexachlorobiphenyl",Clc1c(cc(Cl)c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2,38380-08-4,5.287,1.046,0.9937303457175894,low-fidelity RED
"2,3,4,4',5-Pentachlorobiphenyl",Clc1c(cc(Cl)c(Cl)c1Cl)c2ccc(Cl)cc2,74472-37-0,5.617,1.063,0.9893179468704691,low-fidelity RED
"2,2',3,4,4',5-Hexachloro-1,1'-Biphenyl",Clc1c(cc(Cl)c(Cl)c1Cl)c2ccc(Cl)cc2Cl,35694-06-5,5.649,1.027,0.9937303457175894,low-fidelity RED
Tetrachlorobiphenyl,Clc1c(cc(Cl)c(Cl)c1Cl)c2ccccc2,26914-33-0,5.408,0.948,0.9801147891956334,low-fidelity RED
Pentachloropyridine,Clc1c(Cl)c(Cl)nc(Cl)c1Cl,2176-62-7,5.71,0.8997,0.8616843969807042,low-fidelity RED
"Benzene, 1,2,3,5-Tetrachloro-4-Methoxy-",Clc1c(OC)c(Cl)c(Cl)c(Cl)c1,938-22-7,5.606,1.131,0.9195787078874762,low-fidelity RED
Pentachloroanisole,Clc1c(OC)c(Cl)c(Cl)c(Cl)c1Cl,1825-21-4,5.592,1.014,0.8831760866327849,low-fidelity RED
"Benzene, 1,2,3,4-Tetrachloro-5-Methoxy-",Clc1c(OC)cc(Cl)c(Cl)c1Cl,938-86-3,5.537,1.028,0.9195787078874762,low-fidelity RED
"3-Buten-2-One, 4(3-Chlorophenyl)-",Clc1cc(/C=C/C(=O)C)ccc1,20766-36-3,6.114,1.285,0.896521053852055,low-fidelity RED
"Benzene, 1,2,3-Trichloro-5-Methoxy-",Clc1cc(OC)cc(Cl)c1Cl,54135-82-9,5.977,1.03,0.9943590900675668,low-fidelity RED
"1H-1,2,4-Triazole, 1-[2-(2,4-Dichlorophenyl)Pentyl]-",Clc1ccc(c(Cl)c1)C(CCC)Cn2ncnc2,66246-88-6,5.694,1.263,0.9144670579085936,low-fidelity RED
Imazalil,Clc1ccc(c(Cl)c1)C(OC\C=C)Cn2ccnc2,35554-44-0,5.682,1.379,0.950657667091577,low-fidelity RED
Esfenvalerate,Clc1ccc(cc1)[C@H](C(=O)O[C@@H](C#N)c3cccc(Oc2ccccc2)c3)C(C)C,66230-04-4,7.6,1.427,0.8514693182963199,low-fidelity RED
"Cyano(3-Phenoxyphenyl)Methyl Ester, 4-Chloro-α-(1-Methyl",Clc1ccc(cc1)C(C(=O)OC(C#N)c3cccc(Oc2ccccc2)c3)C(C)C,51630-58-1,7.6,1.427,0.8514693182963199,low-fidelity RED
DDE,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C,4/4/47 0:00,5.735,0.9946,0.8336666000266532,low-fidelity RED
"2,5-Dichloro Styrene",Clc1ccc(Cl)c(C=C)c1,1123-84-8,5.466,1.086,0.9420721840708383,low-fidelity RED
"Benzene, Trichloro-",Clc1cccc(Cl)c1Cl,12002-48-1,5.327,0.8547,0.7553972464869063,low-fidelity RED
"2,2',3,3',5,6'-Hexachlorobiphenyl",Clc2c(c1c(Cl)ccc(Cl)c1Cl)cc(Cl)cc2Cl,52744-13-5,5.567,1.059,0.8958236433584463,low-fidelity RED
"2,2',3,4',5,5'-Hexachlorobiphenyl",Clc2c(c1cc(Cl)c(Cl)cc1Cl)cc(Cl)cc2Cl,51908-16-8,5.414,1.103,0.8958236433584463,low-fidelity RED
"2,2',3',4,5-Pentachloro-1,1'-Biphenyl",Clc2c(c1cc(Cl)c(Cl)cc1Cl)cccc2Cl,41464-51-1,5.243,1.106,0.8077747210701762,low-fidelity RED
"2,2',3,3',5,5'-Hexachlorobiphenyl/Pcb",Clc2c(c1cc(Cl)cc(Cl)c1Cl)cc(Cl)cc2Cl,35694-04-3,5.422,1.033,0.8958236433584463,low-fidelity RED
"2,2',3,5,5',6'-Hexachloro-1,1'-Biphenyl",Clc2c(c1cc(Cl)ccc1Cl)c(Cl)c(Cl)cc2Cl,52663-63-5,5.495,1.028,0.9937303457175894,low-fidelity RED
"2,2',3,5-Tetrachlorobiphenyl",Clc2c(c1cc(Cl)ccc1Cl)cccc2Cl,70362-46-8,5.177,1.137,0.7889866919029755,low-fidelity RED
"2,3,3',4',5,6-Hexachlorobiphenyl",Clc2c(c1ccc(Cl)c(Cl)c1)c(Cl)c(Cl)cc2Cl,74472-44-9,5.604,1.053,0.9937303457175894,low-fidelity RED
"2,3,3',4',6-Pentachlorobiphenyl",Clc2c(c1ccc(Cl)c(Cl)c1)c(Cl)ccc2Cl,38380-03-9,5.761,1.051,0.8077747210701762,low-fidelity RED
"2,3,3',4'-Tetrachlorobiphenyl",Clc2c(c1ccc(Cl)c(Cl)c1)cccc2Cl,41464-43-1,5.236,1.086,0.7889866919029755,low-fidelity RED
